id,city,date,home_team,team1,team2,toss_winner,toss_decision,neutral_venue,foreign_venue,result,method,winner,result_margin,player_of_match,venue,eliminator,umpire1,umpire2,opp_total_played,opp_total_won,match_won,opposition_win_percentage,toss_won,venue,match_type,no_of_fifty_plus_individual_scores_t1,no_of_fifty_plus_partnerships_t1,no_of_fours_t1,no_of_sixes_t1,no_of_extras_t1,no_of_pp_wickets_t1,no_of_wickets_fallen_t1,no_of_balls_first_50_t1,no_of_dots_t1,run_rate_t1,highest_individual_score_t1,highest_individual_scorer’s_strike_rate_t1,2nd_highest_individual_score_t1,no_of_highest_wickets_t1,worst_bowler_runs_t1,no_of_spinners_t1,no_of_pacers_t1,no_of_fifty_plus_individual_scores_t2,no_of_fifty_plus_partnerships_t2,no_of_fours_t2,no_of_sixes_t2,no_of_extras_t2,no_of_pp_wickets_t2,no_of_wickets_fallen_t2,no_of_balls_first_50_t2,no_of_dots_t2,run_rate_t2,highest_individual_score_t2,highest_individual_scorer’s_strike_rate_t2,2nd_highest_individual_scorer_t2,no_of_highest_wickets_t2,worst_bowler_runs_t2,no_of_spinners_t2,no_of_pacers_t2
335982,Bangalore,18-04-08,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,0,runs,,Kolkata Knight Riders,140,BB McCullum,M Chinnaswamy Stadium,N,Asad Rauf,RE Koertzen,0,0,1,0.5,0,0,1,1,4,15,14,17,1,3,24,36,11.1,158,216.43,20,3,25,0,5,0,0,3,3,19,4,10,59,50,5.4,18,120,9,1,48,2,4
335983,Chandigarh,19-04-08,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,0,0,runs,,Chennai Super Kings,33,MEK Hussey,"Punjab Cricket Association IS Bindra Stadium, Mohali",N,MR Benson,SL Shastri,0,0,1,0.5,1,0,0,1,2,20,16,6,1,5,32,34,12,116,214.81,32,1,47,1,4,2,2,18,9,11,1,4,32,23,10.35,71,215.15,54,2,53,2,5
335984,Delhi,19-04-08,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,0,0,wickets,,Delhi Capitals,9,MF Maharoof,Feroz Shah Kotla,N,Aleem Dar,GA Pratapkumar,0,0,0,0.5,1,0,1,0,0,13,3,7,2,8,52,54,6.45,29,126.08,26,1,32,3,3,2,1,18,1,10,1,1,32,31,8.7,58,126.08,52,2,41,1,4
335986,Kolkata,20-04-08,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,0,0,wickets,,Kolkata Knight Riders,5,DJ Hussey,Eden Gardens,N,BF Bowden,K Hariharan,1,1,0,1,1,0,0,0,0,6,6,10,2,10,56,62,5.89,32,82.05,23,2,20,1,5,0,0,5,4,28,3,5,68,61,5.89,38,88.37,14,3,35,3,3
335985,Mumbai,20-04-08,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,0,0,wickets,,Royal Challengers Bangalore,5,MV Boucher,Wankhede Stadium,N,SJ Davis,DJ Harper,1,0,0,0,1,1,1,0,1,18,5,11,3,6,40,45,8.25,48,126.31,29,2,45,2,4,0,1,15,6,5,1,5,45,36,8.44,39,205.26,32,2,43,1,5
335987,Jaipur,21-04-08,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,0,0,wickets,,Rajasthan Royals,6,SR Watson,Sawai Mansingh Stadium,N,Aleem Dar,RB Tiffin,1,0,0,0,1,0,1,1,1,18,7,4,1,8,34,54,8.3,57,167.64,26,1,38,1,5,1,2,17,7,12,3,4,31,47,9.24,76,155.1,36,3,39,3,4
335988,Hyderabad,22-04-08,Deccan Chargers,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,0,0,wickets,,Delhi Capitals,9,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",N,IL Howell,AM Saheba,1,1,0,1,1,1,1,1,0,12,6,5,2,8,65,56,7.1,66,183.33,14,1,35,2,3,1,1,15,6,12,1,1,37,26,11,94,229.26,25,2,36,0,5
335989,Chennai,23-04-08,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,0,0,runs,,Chennai Super Kings,6,ML Hayden,"MA Chidambaram Stadium, Chepauk",N,DJ Harper,GA Pratapkumar,1,0,1,0,0,1,1,2,2,24,6,18,2,5,33,37,10.4,81,176.08,53,2,57,1,4,0,1,19,8,13,2,7,30,38,10.1,45,225,43,2,36,2,6
335990,Hyderabad,24-04-08,Deccan Chargers,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,0,0,wickets,,Rajasthan Royals,3,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",N,Asad Rauf,MR Benson,2,1,0,0.5,0,1,1,1,1,24,9,6,2,5,32,37,10.7,117,220.75,36,3,46,2,3,2,2,18,14,7,1,7,27,34,10.94,71,157.77,61,2,55,3,4
335991,Chandigarh,25-04-08,Kings XI Punjab,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,0,0,runs,,Kings XI Punjab,66,KC Sangakkara,"Punjab Cricket Association IS Bindra Stadium, Mohali",N,Aleem Dar,AM Saheba,2,0,1,0,0,1,1,1,1,18,5,7,1,10,33,40,9.1,94,167.85,18,2,40,1,4,0,0,12,4,7,2,9,43,69,5.8,23,109.52,22,3,40,1,5
335993,Chennai,26-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,0,0,wickets,,Chennai Super Kings,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",N,BF Bowden,AV Jayaprakash,2,2,0,1,1,0,0,0,0,14,4,8,3,9,30,49,7.35,42,127.27,27,1,33,3,4,1,2,12,5,18,0,1,40,34,8.94,70,142.85,43,3,40,1,4
335992,Bangalore,26-04-08,Royal Challengers Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,0,0,wickets,,Rajasthan Royals,7,SR Watson,M Chinnaswamy Stadium,N,MR Benson,IL Howell,3,2,0,0.6667,0,1,1,0,0,12,7,6,2,8,35,64,6.75,44,220,34,1,42,2,4,1,1,22,2,3,2,3,41,44,8.03,61,148.78,49,2,31,2,4
335995,Chandigarh,27-04-08,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,0,0,wickets,,Kings XI Punjab,4,SM Katich,"Punjab Cricket Association IS Bindra Stadium, Mohali",N,RE Koertzen,I Shivram,3,1,0,0.3333,1,0,0,0,0,18,2,11,3,8,41,39,7.9,39,114.7,24,2,39,1,5,1,2,19,3,9,2,6,33,46,8.3,75,144.23,40,3,33,2,4
335994,Mumbai,27-04-08,Mumbai Indians,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,0,0,wickets,,Deccan Chargers,10,AC Gilchrist,Dr DY Patil Sports Academy,N,Asad Rauf,SL Shastri,3,0,0,0,0,1,1,0,0,14,5,11,3,7,57,49,7.7,34,178.94,34,0,33,2,5,1,1,13,11,9,0,0,31,21,12.91,109,231.91,37,2,34,2,4
335996,Bangalore,28-04-08,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,0,0,runs,,Chennai Super Kings,13,MS Dhoni,M Chinnaswamy Stadium,N,BR Doctrove,RB Tiffin,3,1,1,0.3333,1,0,1,1,1,17,8,4,1,5,47,43,8.9,65,216.66,47,3,38,0,5,2,1,14,5,7,1,10,40,35,8.38,53,155.88,50,3,40,0,5
335997,Kolkata,29-04-08,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,0,0,wickets,,Mumbai Indians,7,ST Jayasuriya,Eden Gardens,N,BF Bowden,AV Jayaprakash,4,0,0,0,1,1,1,0,0,15,3,13,3,8,49,53,6.85,40,181.81,29,1,33,2,5,1,1,17,2,15,3,3,49,52,7.39,64,120.75,37,3,41,1,5
335998,Delhi,30-04-08,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,0,runs,,Delhi Capitals,10,GD McGrath,Feroz Shah Kotla,N,Aleem Dar,I Shivram,4,1,1,0.25,0,1,1,2,2,21,5,4,1,5,27,31,9.55,86,159.25,50,4,42,3,4,1,1,16,7,12,3,5,34,32,9.05,54,122.72,38,2,42,1,6
336000,Jaipur,01-05-08,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,0,0,runs,,Rajasthan Royals,45,SA Asnodkar,Sawai Mansingh Stadium,N,RE Koertzen,GA Pratapkumar,4,2,1,0.5,1,1,0,2,2,22,5,14,1,7,41,37,9.8,60,176.47,55,2,31,2,4,1,1,8,6,12,3,10,33,36,7.87,51,130.76,42,3,46,1,6
335999,Hyderabad,01-05-08,Deccan Chargers,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,0,0,wickets,,Kings XI Punjab,7,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",N,BR Doctrove,RB Tiffin,4,2,0,0.5,0,1,1,1,0,19,3,4,1,8,35,40,8.2,76,180.95,48,1,36,2,4,1,1,21,2,6,1,3,46,32,8.86,84,135.48,45,3,37,1,4
336001,Chennai,02-05-08,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,0,0,wickets,,Delhi Capitals,8,V Sehwag,"MA Chidambaram Stadium, Chepauk",N,BF Bowden,K Hariharan,4,3,0,0.75,1,1,1,1,1,17,5,7,1,6,40,44,8.45,54,145.94,32,1,40,1,4,2,1,16,5,6,0,2,29,36,9.05,71,173.17,50,1,40,2,5
336034,Bangalore,03-05-08,Royal Challengers Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,0,0,runs,,Royal Challengers Bangalore,3,P Kumar,M Chinnaswamy Stadium,N,BR Doctrove,SL Shastri,5,1,1,0.2,0,1,0,0,1,15,4,5,1,8,39,34,7.8,44,118.91,38,3,47,1,4,2,1,15,5,6,2,6,46,40,7.65,57,135.71,52,3,41,2,4
336003,Chandigarh,03-05-08,Kings XI Punjab,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,0,0,runs,,Kings XI Punjab,9,IK Pathan,"Punjab Cricket Association IS Bindra Stadium, Mohali",N,DJ Harper,I Shivram,5,2,1,0.4,1,1,1,0,1,22,4,14,1,6,37,42,8.9,40,125,28,2,43,1,5,2,1,9,9,7,4,6,57,46,8.45,71,154.34,59,2,41,2,4
336004,Mumbai,04-05-08,Mumbai Indians,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,0,0,runs,,Mumbai Indians,29,SM Pollock,Dr DY Patil Sports Academy,N,IL Howell,RE Koertzen,5,4,1,0.8,0,1,0,0,1,14,8,10,2,8,35,50,8.1,34,212.5,33,3,27,1,5,0,0,9,5,4,2,10,48,43,7.06,40,200,28,3,46,2,5
336005,Jaipur,04-05-08,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,0,0,wickets,,Rajasthan Royals,8,Sohail Tanvir,Sawai Mansingh Stadium,N,Asad Rauf,AV Jayaprakash,5,4,0,0.8,1,0,1,0,0,12,1,7,3,10,53,61,5.73,42,127.27,27,1,25,3,3,0,1,10,2,21,0,2,39,39,7.67,35,79.54,32,6,29,2,4
336006,Bangalore,05-05-08,Royal Challengers Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,0,0,wickets,,Kings XI Punjab,6,S Sreesanth,M Chinnaswamy Stadium,N,SJ Davis,BR Doctrove,6,4,0,0.6667,0,1,1,1,1,16,1,10,3,10,60,58,6.51,66,129.41,34,2,36,1,4,0,1,12,3,17,1,4,33,51,6.92,39,114.7,31,3,33,1,5
336007,Chennai,06-05-08,Chennai Super Kings,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,0,0,wickets,,Deccan Chargers,7,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",N,MR Benson,RB Tiffin,6,1,0,0.1667,0,1,1,0,0,12,5,10,3,7,48,53,7.2,32,152.38,29,1,45,1,4,1,1,15,7,5,1,3,36,50,8.22,54,150,36,2,36,2,4
336008,Mumbai,07-05-08,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,0,0,wickets,,Mumbai Indians,7,A Nehra,Dr DY Patil Sports Academy,N,DJ Harper,RE Koertzen,6,2,0,0.3333,0,0,1,0,1,9,2,7,2,10,37,43,6.3,39,108.33,32,2,26,1,4,0,0,7,3,12,0,3,52,44,6.85,34,161.9,27,3,21,1,5
336009,Delhi,08-05-08,Delhi Capitals,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,0,0,wickets,,Chennai Super Kings,4,MS Dhoni,Feroz Shah Kotla,N,Aleem Dar,RB Tiffin,7,4,0,0.5714,0,1,0,2,1,22,3,12,2,5,34,26,9.35,80,163.26,59,2,40,2,4,0,1,20,5,11,0,6,32,33,9.4,44,157.14,40,2,36,1,5
336010,Kolkata,08-05-08,Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,0,0,runs,,Kolkata Knight Riders,5,SC Ganguly,Eden Gardens,N,Asad Rauf,IL Howell,7,2,1,0.2857,1,1,1,0,0,12,5,5,2,7,49,40,8.06,26,216.66,20,1,30,1,5,1,0,15,2,6,2,4,54,36,7.75,50,125,30,3,36,1,4
336011,Jaipur,09-05-08,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,0,0,wickets,,Rajasthan Royals,8,YK Pathan,Sawai Mansingh Stadium,N,MR Benson,AM Saheba,7,5,0,0.7143,0,0,1,1,1,15,3,6,0,8,36,47,7,61,124.48,23,1,47,3,4,1,1,16,2,11,0,2,36,33,8.81,68,183.78,40,2,39,2,4
336013,Chennai,10-05-08,Chennai Super Kings,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,0,0,runs,,Chennai Super Kings,18,L Balaji,"MA Chidambaram Stadium, Chepauk",N,AV Jayaprakash,BG Jerling,7,5,1,0.7143,0,1,1,2,1,14,7,15,2,4,32,40,9.05,64,136.17,60,5,38,1,5,1,1,8,10,3,2,9,45,46,8.15,58,152.63,40,2,36,2,4
336014,Hyderabad,11-05-08,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,0,0,runs,,Kolkata Knight Riders,23,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",N,IL Howell,AM Saheba,8,2,1,0.25,1,0,0,2,2,22,8,5,1,4,44,42,10.2,91,159.64,57,3,43,1,5,1,0,16,8,16,3,7,33,48,9.05,71,169.04,33,1,59,2,5
336015,Jaipur,11-05-08,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,0,0,wickets,,Rajasthan Royals,3,SR Watson,Sawai Mansingh Stadium,N,SJ Davis,RE Koertzen,8,6,0,0.75,0,0,1,0,1,10,5,11,1,7,38,41,7.8,39,243.75,31,2,35,2,4,1,1,13,6,17,2,7,49,47,8.29,74,185,24,2,47,1,4
336016,Chandigarh,12-05-08,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,0,0,wickets,,Kings XI Punjab,9,SE Marsh,"Punjab Cricket Association IS Bindra Stadium, Mohali",N,BR Doctrove,I Shivram,8,5,0,0.625,1,0,1,0,0,13,2,15,3,8,34,42,7.15,39,121.87,29,1,36,1,5,1,1,12,7,9,0,1,45,32,9.19,74,145.09,34,3,33,2,4
336017,Kolkata,13-05-08,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,0,0,runs,,Kolkata Knight Riders,23,Shoaib Akhtar,Eden Gardens,N,Asad Rauf,IL Howell,8,4,1,0.5,1,1,1,0,0,10,3,11,1,6,44,43,6.65,48,109.09,31,4,29,1,5,0,0,13,0,8,4,10,48,46,6.16,31,96.87,25,2,34,2,4
336018,Mumbai,14-05-08,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,0,0,wickets,,Mumbai Indians,9,ST Jayasuriya,Wankhede Stadium,N,BR Doctrove,AM Saheba,7,3,0,0.4286,0,0,1,1,1,21,3,12,2,6,57,56,7.8,53,160.6,43,1,44,1,5,1,2,12,12,16,0,1,28,37,11.42,114,237.5,16,3,37,0,6
336020,Delhi,15-05-08,Delhi Capitals,Delhi Capitals,Deccan Chargers,Deccan Chargers,field,0,0,runs,,Delhi Capitals,12,A Mishra,Feroz Shah Kotla,N,BG Jerling,GA Pratapkumar,9,2,1,0.2222,0,1,1,2,1,18,6,8,1,4,38,31,9.7,79,164.58,68,5,51,1,4,0,1,15,9,3,1,9,25,39,9.1,35,194.44,34,2,50,3,4
336021,Mumbai,16-05-08,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,0,0,wickets,,Mumbai Indians,8,SM Pollock,Wankhede Stadium,N,BR Doctrove,DJ Harper,8,4,0,0.5,0,0,1,0,0,7,1,8,3,10,71,59,4.36,15,75,15,1,29,0,3,0,0,8,3,10,2,2,25,14,12.36,48,282.35,9,3,17,0,5
336023,Jaipur,17-05-08,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,0,0,runs,,Rajasthan Royals,65,GC Smith,Sawai Mansingh Stadium,N,BF Bowden,SL Shastri,9,2,1,0.2222,0,1,0,2,2,21,3,26,0,1,35,34,9.85,75,153.06,50,3,28,3,4,1,0,10,6,6,3,9,71,59,6.6,75,208.33,20,1,46,2,4
336022,Delhi,17-05-08,Delhi Capitals,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,0,0,runs,D/L,Kings XI Punjab,6,DPMD Jayawardene,Feroz Shah Kotla,N,AV Jayaprakash,RE Koertzen,9,6,0,0.6667,1,1,1,1,1,10,6,10,0,4,32,24,10.72,51,196.15,40,1,22,2,4,0,1,4,8,4,3,3,29,11,11.75,36,211.76,25,2,33,2,4
336025,Kolkata,18-05-08,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,0,0,runs,D/L,Chennai Super Kings,3,M Ntini,Eden Gardens,N,Asad Rauf,K Hariharan,10,6,0,0.6,1,1,0,1,1,15,3,13,2,5,52,45,7.45,73,135.18,27,0,16,0,4,0,1,8,0,4,0,0,44,21,6.87,32,160,19,4,41,1,4
336024,Hyderabad,18-05-08,Deccan Chargers,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,0,0,runs,,Mumbai Indians,25,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",N,BR Doctrove,DJ Harper,10,2,1,0.2,0,0,1,0,1,17,6,20,1,7,34,43,8.9,38,158.33,36,3,38,1,6,1,1,13,6,8,3,7,50,47,7.65,57,150,37,3,37,3,3
336026,Bangalore,19-05-08,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,0,0,wickets,,Delhi Capitals,5,SP Goswami,M Chinnaswamy Stadium,N,SJ Davis,GA Pratapkumar,11,5,0,0.4545,0,1,1,1,0,14,6,9,1,7,46,53,7.7,52,123.8,47,2,37,1,5,0,1,19,3,12,0,5,26,37,8.61,47,247.36,39,2,51,1,5
336027,Kolkata,20-05-08,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,0,0,wickets,,Rajasthan Royals,6,YK Pathan,Eden Gardens,N,BG Jerling,RE Koertzen,10,8,0,0.8,0,1,1,0,0,13,6,5,1,8,56,51,7.35,32,94.11,31,2,32,0,6,0,1,17,5,7,3,4,47,38,9.09,48,266.66,34,3,36,2,4
336028,Mumbai,21-05-08,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,0,0,runs,,Kings XI Punjab,1,SE Marsh,Wankhede Stadium,N,BF Bowden,GA Pratapkumar,10,6,1,0.6,0,0,0,2,1,18,8,12,1,4,40,42,9.45,81,144.64,79,2,56,2,4,1,0,17,6,23,1,10,27,41,9.4,65,141.3,27,2,43,2,4
