match_won,opposition_win_percentage,home,fifty_plus_t1,fifty_plus_partnerships_t1,dots_t1,run_rate_t1,highest_ind_sr_t1,fours_t2,sixes_t2,wickets_t2,run_rate_t2
0,1.0,0,0,0,8,7.05,118.18,,,,
0,0.0,0,0,0,12,5.64,106.66,,,,
0,1.0,1,0,0,13,3.88,88.88,,,,
1,0.0,1,0,0,9,10.58,214.28,,,,
0,0.0,1,0,0,9,7.76,200.0,,,,
0,0.75,1,0,0,10,4.58,87.5,,,,
0,0.8,0,0,0,13,3.88,50.0,,,,
1,0.2857,1,0,0,10,5.29,75.0,,,,
1,0.7143,1,0,0,11,7.41,200.0,,,,
1,0.25,0,0,0,9,6.35,171.42,,,,
0,0.75,0,0,0,7,7.76,155.55,,,,
1,0.5,1,0,0,7,6,72.72,,,,
0,0.6,1,0,0,10,5.29,66.66,,,,
1,0.2,0,0,0,7,13.76,240.0,,,,
0,0.5,0,0,0,8,8.82,127.27,,,,
0,0.25,1,0,0,8,6.7,88.88,,,,
0,0.4167,0,0,0,7,8.11,150.0,,,,
1,0.8462,1,0,0,10,8.82,136.36,,,,
1,0.5385,2,0,0,10,5.29,150.0,,,,
0,0.5,2,0,0,5,10.23,140.0,,,,
1,0.3333,2,0,0,6,7.76,100.0,,,,
0,0.4286,2,0,0,12,4.94,128.57,,,,
1,0.3125,2,0,0,6,12,216.66,,,,
0,0.5625,2,0,0,11,3.88,100.0,,,,
0,0.7368,2,0,0,7,8.82,160.0,,,,
0,0.2632,2,0,0,9,8.11,155.55,,,,
0,0.7143,2,0,0,8,9.52,178.57,,,,
1,0.5789,2,0,0,9,6.35,111.11,,,,
1,0.6364,2,0,0,10,8.47,130.76,,,,
1,0.6087,2,0,0,7,8.82,175.0,,,,
0,0.5714,2,0,0,12,3.88,125.0,,,,
0,0.4783,2,0,0,12,6.35,121.42,,,,
0,0.4783,2,0,0,12,6.7,121.42,,,,
0,0.4783,2,0,0,12,7.05,113.33,,,,
1,0.3333,2,0,0,9,6.35,200.0,,,,
0,0.36,2,0,0,5,10.94,216.66,,,,
0,0.32,2,0,0,9,5.29,100.0,,,,
0,0.32,2,0,0,9,9.88,244.44,,,,
0,0.5926,2,0,0,11,7.41,150.0,,,,
0,0.5926,2,0,0,11,7.76,150.0,,,,
1,0.3333,2,0,0,11,5.29,100.0,,,,
0,0.3214,2,0,0,11,6.7,500.0,,,,
0,0.4286,2,0,0,8,7.76,135.71,,,,
1,0.4483,2,0,0,10,5.29,100.0,,,,
0,0.5862,1,0,0,8,5.29,150.0,,,,
1,0.6129,0,0,0,6,9.88,212.5,,,,
0,0.4375,0,0,0,9,5.64,112.5,,,,
1,0.3793,1,0,0,8,9.17,169.23,,,,
0,0.4667,0,0,0,9,8.47,185.71,,,,
1,0.5588,1,0,0,9,6,100.0,,,,
1,0.4857,0,0,0,4,12.35,241.66,,,,
0,0.6176,0,0,0,7,8.11,200.0,,,,
1,0.5294,0,0,0,11,9.88,116.66,,,,
1,0.4,0,0,0,11,6.7,142.85,,,,
1,0.375,1,0,0,5,13.41,216.66,,,,
0,0.5152,0,0,0,8,8.82,160.0,,,,
1,0.6389,1,0,0,9,8.47,190.0,,,,
1,0.3784,1,0,0,4,9.52,130.0,,,,
1,0.4737,1,0,0,10,6.7,112.5,,,,
1,0.5429,1,0,0,9,6.35,92.3,,,,
1,0.5429,1,0,0,9,8.11,92.3,,,,
0,0.6154,0,0,0,7,9.88,166.66,,,,
0,0.359,1,0,0,11,6.35,144.44,,,,
1,0.625,0,0,0,8,8.47,137.5,,,,
1,0.4634,1,0,0,12,5.29,120.0,,,,
0,0.4524,1,0,0,9,6,112.5,,,,
0,0.5349,1,0,0,7,12,300.0,,,,
0,0.3846,0,0,0,7,4.94,90.9,,,,
1,0.4318,2,0,0,11,7.76,150.0,,,,
1,0.4,1,0,0,9,4.94,116.66,,,,
0,0.4565,1,0,0,6,8.82,190.9,,,,
0,0.5,0,0,0,13,3.17,100.0,,,,
1,0.4043,1,0,0,10,6.7,118.18,,,,
0,1.0,0,0,0,11,4.58,110.0,,,,
1,0.4583,1,0,0,9,7.05,122.22,,,,
0,0.0,1,0,0,7,7.41,137.5,,,,
1,0.5435,0,0,0,10,6.7,160.0,,,,
1,0.5,1,0,0,9,6.7,81.81,,,,
0,0.451,1,0,0,7,8.11,153.84,,,,
1,0.5,0,0,0,11,3.52,44.44,,,,
1,0.4286,0,0,0,13,3.52,120.0,,,,
0,0.58,0,0,0,7,8.47,163.63,,,,
0,0.4815,0,0,0,7,7.05,109.09,,,,
1,0.5769,0,0,0,4,8.11,188.88,,,,
1,0.5849,1,0,0,10,6,100.0,,,,
1,0.5088,1,0,0,10,6,116.66,,,,
1,0.4615,1,0,0,8,6.7,160.0,,,,
0,0.5,0,0,0,11,4.23,57.14,,,,
0,0.5536,1,0,0,10,4.23,55.55,,,,
1,0.5667,0,0,0,12,3.17,25.0,,,,
1,0.4912,1,0,0,7,9.88,183.33,,,,
1,0.5088,1,0,0,8,9.17,190.9,,,,
1,0.4167,0,0,0,11,4.94,166.66,,,,
0,0.4746,0,0,0,10,4.94,63.63,,,,
0,0.431,0,0,0,10,5.64,90.0,,,,
