id,match_won,opp_win_percentage,toss_won,home,match_type,fifty_plus_t1,fifty_plus_partnerships_t1,fours_t1,sixes_t1,extras_t1,pp_wickets_t1,wickets_t1,balls_first_50_t1,dots_t1,run_rate_t1,highest_ind_t1,highest_ind_sr_t1,X2nd_highest_score_t1,highest_wickets_t1,worst_bowler_runs_t1,spinners_t1,pacers_t1,fifty_plus_t2,fifty_plus_partnerships_t2,fours_t2,sixes_t2,extras_t2,pp_wickets_t2,wickets_t2,balls_first_50_t2,dots_t2,run_rate_t2,highest_ind_t2,highest_ind_sr_t2,X2nd_highest_score_t2,highest_wickets_t2,worst_bowler_runs_t2,spinners_t2,pacers_t2
335986,0,1,1,0,0,0,0,6,6,10,2,10,56,62,5.89,32,82.05,23,2,20,1,5,0,0,5,4,28,3,5,68,61,5.89,38,88.37,14,3,35,3,3
335987,0,0,1,0,1,1,1,18,7,4,1,8,34,54,8.3,57,167.64,26,1,38,1,5,1,2,17,7,12,3,4,31,47,9.24,76,155.1,36,3,39,3,4
335988,0,1,1,1,1,1,0,12,6,5,2,8,65,56,7.1,66,183.33,14,1,35,2,3,1,1,15,6,12,1,1,37,26,11,94,229.26,25,2,36,0,5
335989,1,0,0,1,1,2,2,24,6,18,2,5,33,37,10.4,81,176.08,53,2,57,1,4,0,1,19,8,13,2,7,30,38,10.1,45,225,43,2,36,2,6
335997,0,0,1,1,1,0,0,15,3,13,3,8,49,53,6.85,40,181.81,29,1,33,2,5,1,1,17,2,15,3,3,49,52,7.39,64,120.75,37,3,41,1,5
336001,0,0.75,1,1,1,1,1,17,5,7,1,6,40,44,8.45,54,145.94,32,1,40,1,4,2,1,16,5,6,0,2,29,36,9.05,71,173.17,50,1,40,2,5
336005,0,0.8,1,0,1,0,0,12,1,7,3,10,53,61,5.73,42,127.27,27,1,25,3,3,0,1,10,2,21,0,2,39,39,7.67,35,79.54,32,6,29,2,4
336010,1,0.2857,1,1,1,0,0,12,5,5,2,7,49,40,8.06,26,216.66,20,1,30,1,5,1,0,15,2,6,2,4,54,36,7.75,50,125,30,3,36,1,4
336013,1,0.7143,0,1,1,2,1,14,7,15,2,4,32,40,9.05,64,136.17,60,5,38,1,5,1,1,8,10,3,2,9,45,46,8.15,58,152.63,40,2,36,2,4
336014,1,0.25,1,0,0,2,2,22,8,5,1,4,44,42,10.2,91,159.64,57,3,43,1,5,1,0,16,8,16,3,7,33,48,9.05,71,169.04,33,1,59,2,5
336015,0,0.75,0,0,1,0,1,10,5,11,1,7,38,41,7.8,39,243.75,31,2,35,2,4,1,1,13,6,17,2,7,49,47,8.29,74,185,24,2,47,1,4
336017,1,0.5,1,1,1,0,0,10,3,11,1,6,44,43,6.65,48,109.09,31,4,29,1,5,0,0,13,0,8,4,10,48,46,6.16,31,96.87,25,2,34,2,4
336025,0,0.6,1,1,0,1,1,15,3,13,2,5,52,45,7.45,73,135.18,27,0,16,0,4,0,1,8,0,4,0,0,44,21,6.87,32,160,19,4,41,1,4
336024,1,0.2,0,0,1,0,1,17,6,20,1,7,34,43,8.9,38,158.33,36,3,38,1,6,1,1,13,6,8,3,7,50,47,7.65,57,150,37,3,37,3,3
336032,0,0.5,0,0,1,1,1,18,7,9,0,8,33,45,8.8,66,157.14,46,2,35,1,5,1,0,20,6,3,2,5,28,39,9.02,56,175,36,4,50,1,4
336002,0,0.25,1,1,0,0,1,15,7,13,0,10,40,51,8.25,47,138.23,46,1,36,3,4,0,0,19,7,3,1,5,46,38,9,34,121.42,31,3,39,1,5
336035,0,0.4167,1,0,1,1,1,17,5,11,1,6,37,42,8.7,64,142.22,40,2,36,2,4,1,0,17,9,9,2,7,36,50,8.89,86,162.26,24,4,49,2,4
336019,1,0.8462,0,1,1,2,2,20,14,5,0,3,34,41,11.05,115,166.66,51,3,44,3,4,1,0,18,8,4,2,7,49,43,9,57,146.15,39,1,48,2,4
336038,1,0.5385,0,2,1,1,2,19,10,4,0,9,33,46,9.6,52,179.31,45,3,21,2,4,0,0,9,1,7,3,10,56,49,5.38,33,150,11,3,50,1,4
392183,0,0.5,0,2,0,0,1,5,7,8,1,7,27,28,8.66,38,180.95,22,0,19,1,4,0,1,6,3,5,0,0,27,9,12,38,237.5,15,3,25,1,4
392185,1,0.3333,1,2,0,1,1,15,6,13,0,5,29,34,8.95,65,185.71,30,3,24,1,5,0,0,9,1,5,2,10,46,48,5.67,24,126.31,20,2,37,3,5
392186,0,0.4286,0,2,0,0,1,15,4,12,1,6,45,46,7.9,38,135.71,32,1,27,1,4,0,1,3,6,4,1,1,31,26,8.46,44,169.23,21,2,34,2,5
392188,1,0.3125,1,2,0,2,1,9,12,9,1,6,32,39,9.2,71,157.77,52,3,44,1,4,1,1,17,4,7,1,8,53,48,8,50,156.25,48,2,39,2,4
392194,0,0.5625,1,2,0,0,2,8,5,11,1,7,45,45,7.45,37,148,36,2,37,2,4,1,0,10,4,4,2,4,41,35,7.75,67,142.55,23,2,35,2,3
392198,0,0.7368,1,2,0,1,1,14,3,5,3,7,45,44,7.15,50,125,29,3,34,3,3,1,1,11,7,9,2,5,50,47,7.94,62,206.66,44,2,35,3,3
392199,0,0.2632,1,2,0,0,0,12,2,9,1,6,44,43,6.95,43,122.85,40,3,31,3,3,0,1,12,3,9,0,5,43,43,7.21,43,93.47,25,2,30,4,2
