match_won,opposition_win_percentage,home,fifty_plus_t1,fifty_plus_partnerships_t1,dots_t1,run_rate_t1,highest_ind_sr_t1,fours_t2,sixes_t2,wickets_t2,run_rate_t2
1,0.5,0,0,1,12,11.8,204.99,,,,
1,0.5,0,0,0,16,8.9,150.0,,,,
0,0.5,0,0,0,18,7.16,163.63,,,,
0,0.0,1,0,0,18,8.12,192.3,,,,
0,0.5,1,0,0,17,9.29,144.44,,,,
1,0.0,1,0,0,14,8.32,192.85,,,,
0,1.0,0,0,0,15,9.67,200.0,,,,
0,0.6667,1,0,0,18,8.12,193.33,,,,
0,0.3333,0,0,0,11,7.74,138.46,,,,
0,0.0,1,0,0,21,5.22,118.18,,,,
1,0.3333,0,0,0,17,5.03,68.42,,,,
1,0.25,1,0,1,9,10.45,142.1,,,,
1,0.5,1,0,0,18,7.35,176.92,,,,
0,0.5,1,0,0,11,8.12,152.38,,,,
1,0.2,1,0,0,12,7.74,116.66,,,,
1,0.4,1,0,0,11,9.29,128.57,,,,
1,0.8,1,0,0,15,7.93,208.33,,,,
0,0.6667,1,0,0,24,3.87,76.47,,,,
0,0.1667,1,0,0,19,6,92.85,,,,
0,0.3333,0,0,0,14,6.77,160.0,,,,
0,0.5714,1,0,0,7,8.9,127.77,,,,
0,0.7143,0,0,0,14,8.12,145.0,,,,
0,0.625,0,0,0,15,8.7,262.5,,,,
0,0.4286,0,0,0,18,5.22,145.45,,,,
1,0.2222,1,0,0,13,7.93,176.47,,,,
0,0.5,0,0,0,22,4.25,100.0,,,,
1,0.2222,1,0,0,15,8.32,122.22,,,,
0,0.6667,1,0,0,15,9.09,136.36,,,,
0,0.4545,1,0,0,19,6.77,125.0,,,,
0,0.8,1,0,0,21,4.83,107.69,,,,
1,0.6,0,0,0,17,6,130.76,,,,
1,0.6364,0,0,0,19,4.25,58.82,,,,
0,0.7273,0,0,0,13,7.54,123.52,,,,
1,0.5833,0,0,1,11,10.83,158.82,,,,
0,0.8333,0,0,0,18,5.41,93.75,,,,
0,0.5385,1,0,0,19,3.67,80.0,,,,
0,0.4615,1,0,0,12,6.77,138.46,,,,
0,0.5714,2,0,0,17,5.8,146.15,,,,
0,0.8,2,0,0,13,7.54,116.66,,,,
1,0.5625,2,0,0,12,6.77,137.5,,,,
1,0.8125,2,0,0,19,3.67,88.23,,,,
0,0.1429,2,0,0,24,3.09,83.33,,,,
1,0.5556,2,0,0,13,9.09,227.27,,,,
1,0.4667,2,0,0,19,7.74,222.22,,,,
0,0.5882,2,0,0,15,9.29,160.0,,,,
1,0.5333,2,0,0,15,8.51,153.33,,,,
1,0.5333,2,0,0,15,8.7,153.33,,,,
1,0.7778,2,0,0,20,6,92.85,,,,
1,0.7778,2,0,0,20,6.19,92.85,,,,
0,0.2941,2,0,1,13,11.41,183.33,,,,
1,0.4375,2,0,0,18,8.9,124.0,,,,
1,0.4375,2,0,0,18,9.09,124.0,,,,
1,0.5294,2,0,0,18,4.45,100.0,,,,
0,0.5556,2,0,0,20,6,114.28,,,,
1,0.75,2,0,0,19,5.22,140.0,,,,
1,0.3889,2,0,0,14,7.16,110.52,,,,
1,0.65,2,0,0,20,5.22,128.57,,,,
0,0.619,2,0,0,21,4.45,100.0,,,,
0,0.3333,2,0,0,21,4.45,100.0,,,,
1,0.3,2,0,0,14,8.9,175.0,,,,
0,0.55,2,0,0,14,9.48,140.0,,,,
1,0.5,2,0,0,17,7.16,181.81,,,,
0,0.7391,2,0,0,20,4.45,71.42,,,,
0,0.5833,2,0,0,16,8.51,125.0,,,,
0,0.5833,2,0,0,17,4.83,87.5,,,,
1,0.3478,2,0,0,19,8.12,138.88,,,,
0,0.5909,2,0,0,20,5.03,136.36,,,,
1,0.72,2,0,0,16,6.19,126.66,,,,
0,0.3333,2,0,0,20,5.22,73.33,,,,
1,0.5,2,0,0,13,7.74,123.52,,,,
0,0.5769,2,0,0,18,5.22,112.5,,,,
0,0.5769,2,0,0,17,6.77,133.33,,,,
1,0.3462,2,0,0,18,7.16,200.0,,,,
