id,match_won,opp_win_percentage,toss_won,home,match_type,fifty_plus_t1,fifty_plus_partnerships_t1,fours_t1,sixes_t1,extras_t1,pp_wickets_t1,wickets_t1,balls_first_50_t1,dots_t1,run_rate_t1,highest_ind_t1,highest_ind_sr_t1,X2nd_highest_score_t1,highest_wickets_t1,worst_bowler_runs_t1,spinners_t1,pacers_t1,fifty_plus_t2,fifty_plus_partnerships_t2,fours_t2,sixes_t2,extras_t2,pp_wickets_t2,wickets_t2,balls_first_50_t2,dots_t2,run_rate_t2,highest_ind_t2,highest_ind_sr_t2,X2nd_highest_score_t2,highest_wickets_t2,worst_bowler_runs_t2,spinners_t2,pacers_t2
335982,1,0.5,0,0,1,1,4,15,14,17,1,3,24,36,11.1,158,216.43,20,3,25,0,5,0,0,3,3,19,4,10,59,50,5.4,18,120,9,1,48,2,4
335983,1,0.5,1,0,0,1,2,20,16,6,1,5,32,34,12,116,214.81,32,1,47,1,4,2,2,18,9,11,1,4,32,23,10.35,71,215.15,54,2,53,2,5
335984,0,0.5,1,0,1,0,0,13,3,7,2,8,52,54,6.45,29,126.08,26,1,32,3,3,2,1,18,1,10,1,1,32,31,8.7,58,126.08,52,2,41,1,4
335985,0,0,1,1,1,0,1,18,5,11,3,6,40,45,8.25,48,126.31,29,2,45,2,4,0,1,15,6,5,1,5,45,36,8.44,39,205.26,32,2,43,1,5
335990,0,0.5,0,1,1,1,1,24,9,6,2,5,32,37,10.7,117,220.75,36,3,46,2,3,2,2,18,14,7,1,7,27,34,10.94,71,157.77,61,2,55,3,4
335991,1,0,0,1,1,1,1,18,5,7,1,10,33,40,9.1,94,167.85,18,2,40,1,4,0,0,12,4,7,2,9,43,69,5.8,23,109.52,22,3,40,1,5
335993,0,1,1,0,0,0,0,14,4,8,3,9,30,49,7.35,42,127.27,27,1,33,3,4,1,2,12,5,18,0,1,40,34,8.94,70,142.85,43,3,40,1,4
335992,0,0.6667,0,1,1,0,0,12,7,6,2,8,35,64,6.75,44,220,34,1,42,2,4,1,1,22,2,3,2,3,41,44,8.03,61,148.78,49,2,31,2,4
335995,0,0.3333,1,0,0,0,0,18,2,11,3,8,41,39,7.9,39,114.7,24,2,39,1,5,1,2,19,3,9,2,6,33,46,8.3,75,144.23,40,3,33,2,4
335994,0,0,0,1,1,0,0,14,5,11,3,7,57,49,7.7,34,178.94,34,0,33,2,5,1,1,13,11,9,0,0,31,21,12.91,109,231.91,37,2,34,2,4
